epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.87434,1.08078,6.94665,1.15356,0.00391,0.83279,0.1625,0.09831,0.76887,6.24777,0.85927,0.093035,3.5e-05,3.5e-05
2,6.56949,1.10704,5.72461,1.12033,0.00128,0.44897,0.07027,0.04605,1.34939,7.90093,1.31347,0.0850749,7.49267e-05,7.49267e-05
3,9.13867,1.08927,4.41306,1.11234,0.00114,0.50629,0.0301,0.01853,2.01029,8.70584,1.79131,0.0771146,0.000114551,0.000114551
4,11.6217,1.07504,3.40389,1.1165,0.00164,0.64539,0.16331,0.11998,1.71709,7.47495,1.5747,0.0691536,0.000153641,0.000153641
5,13.9916,1.02114,2.69638,1.07933,0.25301,0.55319,0.25091,0.19944,1.47461,7.5641,1.37997,0.061192,0.000191967,0.000191967
6,16.322,0.9889,2.39452,1.05599,0.49676,0.65223,0.59262,0.45712,1.12666,7.21782,1.13385,0.0532293,0.000229307,0.000229307
7,18.7041,0.97149,2.09275,1.08418,0.45685,0.62009,0.63451,0.51641,0.9476,7.16049,1.03746,0.0452654,0.000265441,0.000265441
8,20.9861,0.95754,1.99058,1.0574,0.28637,0.9887,0.90084,0.72324,0.66001,5.74054,0.85336,0.0373002,0.00030016,0.00030016
9,23.2674,0.91976,1.8515,1.03569,0.96829,0.73157,0.93401,0.7598,0.73183,4.656,0.83405,0.0293333,0.000333264,0.000333264
10,25.5212,0.90333,1.76415,1.02169,1,0.51366,0.93191,0.76392,0.66026,4.20764,0.83519,0.0213646,0.000364562,0.000364562
11,27.7555,0.96497,1.91731,1.07326,0.96688,0.75291,0.91364,0.74346,0.69903,3.40135,0.85682,0.0133939,0.000393877,0.000393877
12,30.1682,0.90813,1.78873,1.03651,0.97272,0.71481,0.9407,0.73488,0.79136,3.83848,0.90428,0.00542104,0.000421042,0.000421042
13,32.4233,0.92191,1.71904,1.06068,0.94227,0.7333,0.94964,0.76055,0.69323,3.02651,0.88433,0.00043292,0.00043292,0.00043292
14,34.6928,0.88327,1.69737,1.03984,0.89547,0.88632,0.95054,0.76881,0.63982,2.25425,0.87974,0.000421925,0.000421925,0.000421925
15,36.9342,0.86008,1.61591,1.01172,0.94925,0.92724,0.9753,0.79782,0.63442,1.67807,0.87971,0.000410262,0.000410262,0.000410262
16,39.1749,0.85494,1.65606,1.04191,0.87691,0.87105,0.95457,0.79428,0.64694,1.94319,0.89346,0.000397977,0.000397977,0.000397977
17,41.3408,0.85121,1.6178,1.04504,0.95506,0.8635,0.97837,0.82488,0.58275,1.77336,0.88345,0.000385117,0.000385117,0.000385117
18,43.671,0.82694,1.54443,1.02262,0.9655,0.95904,0.98629,0.83111,0.64813,1.31486,0.87116,0.000371734,0.000371734,0.000371734
19,46.2022,0.84784,1.52623,1.03602,0.96676,0.99287,0.99269,0.83574,0.66604,1.47634,0.85656,0.00035788,0.00035788,0.00035788
20,48.7729,0.82599,1.56222,1.00839,0.95188,0.99888,0.99096,0.83701,0.61473,1.11956,0.8517,0.000343611,0.000343611,0.000343611
21,51.2407,0.75629,1.3417,0.99601,0.95924,0.98106,0.99329,0.87803,0.54768,1.10454,0.85422,0.000328982,0.000328982,0.000328982
22,53.5195,0.76579,1.37882,1.01324,0.99616,0.98678,0.99446,0.86919,0.54999,0.92495,0.84301,0.000314051,0.000314051,0.000314051
23,55.8273,0.80338,1.41009,1.01071,0.98207,1,0.99483,0.86691,0.51767,0.89033,0.83067,0.000298877,0.000298877,0.000298877
