epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.54572,0.65746,1.16107,0.96076,0.87028,0.76762,0.88356,0.76201,0.6599,2.34527,0.9303,0.084008,8e-06,8e-06
2,9.68559,0.68304,1.10446,0.98475,0.94845,0.79638,0.90904,0.77703,0.58416,2.02798,0.87905,0.0670165,1.6496e-05,1.6496e-05
3,13.6779,0.66579,1.0576,0.95938,0.99058,0.96519,0.98973,0.89776,0.46184,0.87839,0.79448,0.050025,2.49756e-05,2.49756e-05
4,17.6668,0.64571,1.01852,0.97538,0.9906,0.99308,0.99484,0.92314,0.42524,0.728,0.78548,0.0330334,3.34264e-05,3.34264e-05
5,21.6054,0.63443,1.01919,0.9563,0.99763,0.99962,0.995,0.92903,0.43524,0.6774,0.78297,0.0160418,4.18361e-05,4.18361e-05
6,25.5073,0.60085,0.96438,0.94032,0.99798,1,0.995,0.9294,0.42736,0.64578,0.78038,4.96953e-05,4.96953e-05,4.96953e-05
7,29.5704,0.60641,1.03757,0.95934,0.99797,1,0.995,0.9226,0.44432,0.65201,0.78435,4.95616e-05,4.95616e-05,4.95616e-05
8,33.5133,0.59719,0.97269,0.95215,0.99812,1,0.995,0.92341,0.43566,0.63829,0.78515,4.94039e-05,4.94039e-05,4.94039e-05
9,37.4902,0.58361,0.94471,0.94808,0.99822,1,0.995,0.93182,0.37638,0.60318,0.77992,4.92224e-05,4.92224e-05,4.92224e-05
10,41.4582,0.55485,0.89374,0.93656,0.99843,1,0.995,0.93696,0.39037,0.60787,0.78127,4.90173e-05,4.90173e-05,4.90173e-05
11,45.4177,0.59905,0.90513,0.9426,0.99812,1,0.995,0.91249,0.45193,0.63739,0.78974,4.87886e-05,4.87886e-05,4.87886e-05
12,49.3527,0.58625,0.93749,0.94348,0.99872,1,0.995,0.92996,0.39839,0.60532,0.78498,4.85368e-05,4.85368e-05,4.85368e-05
13,53.3926,0.58723,0.92722,0.95284,0.99858,1,0.995,0.94076,0.38698,0.59177,0.77967,4.8262e-05,4.8262e-05,4.8262e-05
14,57.3449,0.58043,0.92359,0.92468,0.99822,1,0.995,0.93677,0.39328,0.59514,0.77894,4.79644e-05,4.79644e-05,4.79644e-05
15,61.3163,0.54998,0.89262,0.92855,0.99825,1,0.995,0.93542,0.39098,0.60399,0.77743,4.76445e-05,4.76445e-05,4.76445e-05
16,65.2284,0.58445,0.91846,0.94182,0.99808,1,0.995,0.94205,0.37459,0.59436,0.77499,4.73024e-05,4.73024e-05,4.73024e-05
17,69.1777,0.57265,0.9431,0.93381,0.99804,1,0.995,0.92955,0.39338,0.59623,0.77795,4.69386e-05,4.69386e-05,4.69386e-05
18,73.1184,0.55865,0.88631,0.93555,0.99807,1,0.995,0.92925,0.39273,0.58106,0.77958,4.65534e-05,4.65534e-05,4.65534e-05
19,77.1528,0.54519,0.86474,0.92097,0.99856,1,0.995,0.9281,0.39479,0.59547,0.78171,4.61471e-05,4.61471e-05,4.61471e-05
20,81.0739,0.53303,0.87408,0.9142,0.99865,1,0.995,0.92945,0.39065,0.59023,0.78167,4.57202e-05,4.57202e-05,4.57202e-05
21,85.0957,0.57664,0.89223,0.93725,0.99837,1,0.995,0.92597,0.41228,0.59761,0.78355,4.52732e-05,4.52732e-05,4.52732e-05
22,89.0758,0.52817,0.82695,0.92741,0.99872,1,0.995,0.93279,0.40081,0.58965,0.7815,4.48063e-05,4.48063e-05,4.48063e-05
23,93.1588,0.51992,0.85526,0.92448,0.99857,1,0.995,0.93288,0.37738,0.57381,0.77704,4.43202e-05,4.43202e-05,4.43202e-05
24,97.1572,0.52075,0.82721,0.91463,0.99856,1,0.995,0.93276,0.37976,0.5717,0.77744,4.38152e-05,4.38152e-05,4.38152e-05
25,101.259,0.55385,0.86577,0.93991,0.99861,1,0.995,0.93027,0.40428,0.57444,0.78073,4.3292e-05,4.3292e-05,4.3292e-05
26,105.217,0.55046,0.87383,0.92938,0.99824,1,0.995,0.93349,0.38584,0.5765,0.77944,4.27509e-05,4.27509e-05,4.27509e-05
