epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.44589,0.54498,5.61785,0.94646,0.00548,0.90667,0.8346,0.76464,0.3712,6.23055,0.84267,0.0910045,4.5e-06,4.5e-06
2,12.4531,0.51895,3.09462,0.91051,0.00416,0.96,0.80473,0.56854,0.74627,7.60083,1.13548,0.0810095,9.49072e-06,9.49072e-06
3,17.2801,0.57216,1.87713,0.93139,0.11966,1,0.87057,0.67785,0.75865,7.1307,1.06311,0.0710144,1.44434e-05,1.44434e-05
4,22.0351,0.54927,1.47363,0.92172,1,0.66667,0.83333,0.74956,0.72767,7.47453,1.00579,0.0610193,1.9329e-05,1.9329e-05
5,26.7858,0.63144,1.41132,1.04654,0.98667,0.77333,0.88473,0.82083,0.60149,7.07563,0.93222,0.0510241,2.4119e-05,2.4119e-05
6,31.4825,0.50347,1.17335,0.91494,0.88992,0.96,0.97128,0.92089,0.42557,6.08209,0.83897,0.0410288,2.87853e-05,2.87853e-05
7,36.097,0.48125,1.08201,0.92561,0.51211,1,0.99357,0.94278,0.39462,4.77074,0.81222,0.0310333,3.33008e-05,3.33008e-05
8,40.6739,0.50305,1.12399,0.92807,1,0.82369,0.995,0.958,0.3323,3.7103,0.80439,0.0210376,3.76391e-05,3.76391e-05
9,45.2443,0.53431,1.15256,0.97891,1,0.89799,0.995,0.96438,0.30578,2.84677,0.80151,0.0110418,4.17753e-05,4.17753e-05
10,49.9443,0.42136,0.96435,0.88604,1,0.94478,0.995,0.96126,0.28694,2.16116,0.79828,0.00104569,4.56856e-05,4.56856e-05
11,54.5529,0.41902,0.96412,0.90919,0.99251,0.95955,0.995,0.95931,0.28105,1.6503,0.79531,4.52732e-05,4.52732e-05,4.52732e-05
12,59.1614,0.41574,0.94432,0.88635,0.98085,0.98475,0.995,0.9617,0.28825,1.30716,0.7936,4.43202e-05,4.43202e-05,4.43202e-05
13,63.7325,0.46468,0.94516,0.91359,0.97967,0.99437,0.995,0.96275,0.27824,1.06399,0.79378,4.3292e-05,4.3292e-05,4.3292e-05
14,68.361,0.42665,0.93307,0.90828,0.98113,1,0.995,0.96341,0.26915,0.88208,0.79194,4.21925e-05,4.21925e-05,4.21925e-05
15,72.9109,0.38785,0.93501,0.89968,0.98582,1,0.995,0.96996,0.25858,0.75918,0.79067,4.10262e-05,4.10262e-05,4.10262e-05
16,77.4908,0.42328,0.92619,0.90934,0.98887,0.99964,0.995,0.97397,0.25474,0.70167,0.78883,3.97977e-05,3.97977e-05,3.97977e-05
17,82.0246,0.47239,0.9499,0.91514,0.99147,1,0.995,0.97947,0.2483,0.63666,0.78542,3.85117e-05,3.85117e-05,3.85117e-05
18,86.5923,0.42473,0.92632,0.89374,0.99571,1,0.995,0.97851,0.25315,0.62054,0.78414,3.71734e-05,3.71734e-05,3.71734e-05
19,91.2188,0.41339,0.91742,0.90437,0.99655,1,0.995,0.97663,0.24819,0.60332,0.78416,3.5788e-05,3.5788e-05,3.5788e-05
20,95.7798,0.41733,0.8707,0.88792,0.99662,1,0.995,0.97523,0.24312,0.61386,0.78339,3.43611e-05,3.43611e-05,3.43611e-05
21,100.427,0.43369,0.86906,0.90038,0.99684,1,0.995,0.97498,0.24237,0.59499,0.78174,3.28982e-05,3.28982e-05,3.28982e-05
22,105.107,0.42081,0.86883,0.92404,0.99664,1,0.995,0.97394,0.24081,0.57366,0.78252,3.14051e-05,3.14051e-05,3.14051e-05
23,109.649,0.44997,0.9128,0.89937,0.9957,1,0.995,0.97263,0.24162,0.55774,0.78164,2.98877e-05,2.98877e-05,2.98877e-05
24,114.245,0.40208,0.8718,0.87931,0.99521,1,0.995,0.97,0.24304,0.52875,0.78146,2.8352e-05,2.8352e-05,2.8352e-05
25,118.829,0.41296,0.85453,0.89184,0.99569,1,0.995,0.96955,0.25187,0.52584,0.78272,2.68041e-05,2.68041e-05,2.68041e-05
26,123.424,0.3906,0.84052,0.88655,0.99644,1,0.995,0.96729,0.25046,0.52258,0.78331,2.525e-05,2.525e-05,2.525e-05
27,128.242,0.42138,0.90886,0.93242,0.99671,1,0.995,0.97141,0.24791,0.51526,0.78267,2.36959e-05,2.36959e-05,2.36959e-05
