epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7682,0.9975,4.2258,1.15084,0.17949,0.09333,0.13187,0.07168,1.6739,9.55684,1.60366,0.0674052,0.000163793,0.000163793
2,44.2125,0.89143,1.81741,1.08243,0.96816,0.95746,0.97328,0.82994,0.62984,1.35277,0.91315,0.0342382,0.000330137,0.000330137
3,63.6067,0.87617,1.67906,1.07657,0.97039,1,0.98474,0.81889,0.7035,1.15039,0.90043,0.0010699,0.000495186,0.000495186
4,82.8622,0.85445,1.60391,1.07393,0.98616,0.97333,0.99175,0.86963,0.52534,1.12624,0.87221,0.000495616,0.000495616,0.000495616
5,103.014,0.84321,1.4541,1.05739,0.97194,1,0.99449,0.8479,0.63025,1.29088,0.89905,0.000492224,0.000492224,0.000492224
6,122.962,0.82129,1.39199,1.04386,0.99398,1,0.995,0.87885,0.55546,0.88246,0.86002,0.000487886,0.000487886,0.000487886
7,142.954,0.83405,1.37615,1.05864,0.99564,1,0.995,0.90124,0.47531,0.80493,0.84184,0.00048262,0.00048262,0.00048262
8,162.142,0.80924,1.30441,1.05772,0.98281,0.99158,0.995,0.88389,0.56618,1.08967,0.85717,0.000476445,0.000476445,0.000476445
9,181.252,0.79749,1.25254,1.05093,0.99258,1,0.995,0.89144,0.48998,0.77295,0.84867,0.000469386,0.000469386,0.000469386
10,199.914,0.76172,1.19678,1.0209,0.98984,1,0.995,0.91336,0.45361,0.75979,0.83779,0.000461471,0.000461471,0.000461471
11,218.952,0.76834,1.19626,1.02763,0.99503,1,0.995,0.92029,0.43788,0.79063,0.82496,0.000452732,0.000452732,0.000452732
12,237.473,0.75096,1.15984,1.02509,0.99315,1,0.995,0.92087,0.43779,0.71407,0.8238,0.000443202,0.000443202,0.000443202
13,256.164,0.74472,1.1054,1.01686,0.99298,1,0.995,0.90814,0.43328,0.69818,0.82466,0.00043292,0.00043292,0.00043292
14,274.964,0.74327,1.08473,1.01812,0.99617,1,0.995,0.92907,0.40842,0.67521,0.83374,0.000421925,0.000421925,0.000421925
15,293.544,0.74693,1.11159,1.02265,0.99733,1,0.995,0.92718,0.39694,0.6255,0.81066,0.000410262,0.000410262,0.000410262
16,312.306,0.71637,1.03208,1.01264,0.99544,1,0.995,0.93492,0.37512,0.60299,0.80992,0.000397977,0.000397977,0.000397977
17,333.442,0.71871,1.02142,1.00412,0.99526,1,0.995,0.91365,0.43128,0.6807,0.8235,0.000385117,0.000385117,0.000385117
18,355.164,0.71382,1.04123,1.00842,0.99446,1,0.995,0.92819,0.37175,0.60445,0.81091,0.000371734,0.000371734,0.000371734
19,374.957,0.70934,1.01847,1.00818,0.99644,1,0.995,0.9019,0.47445,0.60715,0.82536,0.00035788,0.00035788,0.00035788
20,392.437,0.67877,0.97481,0.99367,0.99718,1,0.995,0.90729,0.43919,0.58298,0.81646,0.000343611,0.000343611,0.000343611
21,408.779,0.68894,0.97547,0.98874,0.99558,1,0.995,0.94259,0.37027,0.56056,0.81533,0.000328982,0.000328982,0.000328982
22,424.972,0.66213,0.93005,0.97843,0.99626,1,0.995,0.95126,0.34349,0.55007,0.80949,0.000314051,0.000314051,0.000314051
23,442.041,0.69251,0.96405,0.99893,0.99557,1,0.995,0.94382,0.33978,0.56317,0.81619,0.000298877,0.000298877,0.000298877
24,457.978,0.65329,0.88214,0.97948,0.99666,1,0.995,0.93918,0.34113,0.53164,0.80157,0.00028352,0.00028352,0.00028352
25,474.117,0.65127,0.88021,0.97836,0.99652,1,0.995,0.9463,0.32599,0.51942,0.79466,0.000268041,0.000268041,0.000268041
26,493.243,0.64807,0.88792,0.97888,0.99703,1,0.995,0.95538,0.29741,0.49004,0.79187,0.0002525,0.0002525,0.0002525
27,513.564,0.6353,0.85571,0.96758,0.99636,1,0.995,0.94864,0.33616,0.5,0.79396,0.000236959,0.000236959,0.000236959
28,530.456,0.63771,0.84136,0.98186,0.99686,1,0.995,0.95338,0.30808,0.48941,0.79413,0.00022148,0.00022148,0.00022148
29,551.113,0.62035,0.82411,0.96382,0.99722,1,0.995,0.95334,0.30879,0.46959,0.79187,0.000206123,0.000206123,0.000206123
30,567.395,0.61748,0.80083,0.96189,0.99692,1,0.995,0.94682,0.30459,0.45972,0.79113,0.000190949,0.000190949,0.000190949
31,583.754,0.61556,0.79494,0.95764,0.99746,1,0.995,0.96147,0.27623,0.43144,0.78654,0.000176018,0.000176018,0.000176018
32,600.088,0.61485,0.79477,0.96449,0.99642,1,0.995,0.95614,0.28149,0.43262,0.78864,0.000161389,0.000161389,0.000161389
33,618.169,0.59954,0.77683,0.94792,0.99677,1,0.995,0.95704,0.28453,0.44597,0.78465,0.00014712,0.00014712,0.00014712
34,636.536,0.60993,0.76622,0.95709,0.99734,1,0.995,0.9751,0.25732,0.40765,0.78066,0.000133266,0.000133266,0.000133266
35,655.165,0.59428,0.74678,0.95234,0.99695,1,0.995,0.97122,0.25572,0.42754,0.78231,0.000119883,0.000119883,0.000119883
36,671.97,0.5749,0.71767,0.94461,0.99744,1,0.995,0.97911,0.24591,0.4079,0.78036,0.000107023,0.000107023,0.000107023
37,689.642,0.58112,0.73559,0.9524,0.99646,1,0.995,0.96911,0.24407,0.40729,0.77928,9.47376e-05,9.47376e-05,9.47376e-05
