epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,17.8909,0.61766,0.80782,0.95102,0.99619,1,0.995,0.94946,0.31698,0.50125,0.79303,0.0674076,1.63043e-05,1.63043e-05
2,36.4227,0.60706,0.7926,0.94773,0.9957,1,0.995,0.97959,0.26179,0.44852,0.78302,0.0340909,3.29388e-05,3.29388e-05
3,52.835,0.57796,0.73598,0.94535,0.99765,1,0.995,0.97729,0.25853,0.41825,0.78099,0.000774082,4.94439e-05,4.94439e-05
4,69.4007,0.57119,0.71297,0.94451,0.99722,1,0.995,0.9758,0.2576,0.42193,0.78165,4.95616e-05,4.95616e-05,4.95616e-05
5,86.0057,0.56101,0.70955,0.94146,0.99749,1,0.995,0.97743,0.24569,0.39365,0.77976,4.92224e-05,4.92224e-05,4.92224e-05
6,101.334,0.56605,0.69988,0.94896,0.99736,1,0.995,0.97764,0.24425,0.40211,0.77928,4.87886e-05,4.87886e-05,4.87886e-05
7,116.503,0.5684,0.7094,0.94235,0.9977,1,0.995,0.97839,0.2499,0.39955,0.77959,4.8262e-05,4.8262e-05,4.8262e-05
8,131.834,0.56193,0.68989,0.93387,0.99718,1,0.995,0.98432,0.24474,0.41471,0.77651,4.76445e-05,4.76445e-05,4.76445e-05
9,147.039,0.55949,0.68893,0.92809,0.99745,1,0.995,0.97572,0.23505,0.41228,0.77597,4.69386e-05,4.69386e-05,4.69386e-05
10,162.407,0.54534,0.66878,0.92585,0.99761,1,0.995,0.98205,0.23089,0.37418,0.77664,4.61471e-05,4.61471e-05,4.61471e-05
11,177.594,0.55337,0.6811,0.93254,0.99759,1,0.995,0.97935,0.23039,0.38213,0.77838,4.52732e-05,4.52732e-05,4.52732e-05
12,192.752,0.53654,0.65834,0.92946,0.99751,1,0.995,0.98178,0.23041,0.39274,0.77668,4.43202e-05,4.43202e-05,4.43202e-05
13,208.511,0.54918,0.66221,0.93544,0.99732,1,0.995,0.98375,0.23715,0.3993,0.77336,4.3292e-05,4.3292e-05,4.3292e-05
14,224.507,0.55031,0.67825,0.93421,0.99724,1,0.995,0.9826,0.22801,0.39698,0.77622,4.21925e-05,4.21925e-05,4.21925e-05
15,240.145,0.55182,0.6841,0.93614,0.99744,1,0.995,0.97887,0.22975,0.38633,0.77908,4.10262e-05,4.10262e-05,4.10262e-05
16,255.6,0.54582,0.66705,0.93611,0.99736,1,0.995,0.98441,0.22887,0.37835,0.77865,3.97977e-05,3.97977e-05,3.97977e-05
17,271.138,0.54262,0.6673,0.93037,0.99737,1,0.995,0.98062,0.23092,0.39733,0.77609,3.85117e-05,3.85117e-05,3.85117e-05
18,287.522,0.54795,0.65621,0.93784,0.99744,1,0.995,0.98423,0.22649,0.41609,0.77609,3.71734e-05,3.71734e-05,3.71734e-05
19,304.027,0.54232,0.65395,0.93322,0.99771,1,0.995,0.98362,0.23323,0.41281,0.77716,3.5788e-05,3.5788e-05,3.5788e-05
20,319.259,0.55511,0.66596,0.93766,0.9975,1,0.995,0.98524,0.214,0.38626,0.77405,3.43611e-05,3.43611e-05,3.43611e-05
21,334.298,0.536,0.65948,0.92796,0.99747,1,0.995,0.9865,0.22339,0.38344,0.77538,3.28982e-05,3.28982e-05,3.28982e-05
22,349.638,0.53423,0.65196,0.9255,0.99752,1,0.995,0.98006,0.22913,0.3937,0.77673,3.14051e-05,3.14051e-05,3.14051e-05
23,364.706,0.53513,0.64297,0.93252,0.99745,1,0.995,0.98283,0.2207,0.37679,0.77274,2.98877e-05,2.98877e-05,2.98877e-05
24,379.91,0.52825,0.64778,0.91641,0.9975,1,0.995,0.98154,0.23168,0.39889,0.7743,2.8352e-05,2.8352e-05,2.8352e-05
25,394.931,0.52803,0.64006,0.92167,0.99744,1,0.995,0.98267,0.22414,0.38457,0.7744,2.68041e-05,2.68041e-05,2.68041e-05
26,409.917,0.53715,0.63881,0.92965,0.99746,1,0.995,0.98463,0.22018,0.38301,0.77492,2.525e-05,2.525e-05,2.525e-05
