epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.1735,0.99999,3.96405,1.14868,0.38413,0.84,0.80841,0.63059,0.82089,6.03548,0.99179,0.0672532,0.000164557,0.000164557
2,53.0095,0.90521,1.89691,1.07722,0.99261,1,0.995,0.87855,0.53204,1.13548,0.87492,0.0340862,0.0003309,0.0003309
3,77.9323,0.90326,1.76341,1.09651,0.98477,1,0.995,0.85511,0.58262,1.07641,0.87421,0.000917888,0.000495947,0.000495947
4,101.973,0.8611,1.59407,1.07228,0.96626,1,0.99449,0.89298,0.49453,1.23544,0.85413,0.000495616,0.000495616,0.000495616
5,127.042,0.85977,1.56461,1.06387,0.99073,0.99744,0.995,0.89694,0.48511,0.91133,0.83185,0.000492224,0.000492224,0.000492224
6,150.661,0.859,1.49545,1.06909,0.98385,1,0.995,0.88781,0.47697,0.87531,0.8432,0.000487886,0.000487886,0.000487886
7,167.367,0.8019,1.43116,1.04825,0.99693,1,0.995,0.90628,0.47265,0.84196,0.83277,0.00048262,0.00048262,0.00048262
8,182.97,0.80027,1.33148,1.04599,0.99657,1,0.995,0.90096,0.46536,0.77208,0.83292,0.000476445,0.000476445,0.000476445
9,198.795,0.79702,1.26967,1.03871,0.99389,0.9949,0.995,0.88759,0.4651,0.86744,0.86332,0.000469386,0.000469386,0.000469386
10,214.843,0.78263,1.21562,1.01684,0.99712,1,0.995,0.89665,0.42609,0.72399,0.84198,0.000461471,0.000461471,0.000461471
11,231.099,0.77756,1.24274,1.02903,0.97712,1,0.99449,0.93661,0.38893,0.72493,0.82222,0.000452732,0.000452732,0.000452732
12,247.163,0.76592,1.21411,1.02553,0.99494,1,0.995,0.90656,0.44665,0.72028,0.84996,0.000443202,0.000443202,0.000443202
13,263.176,0.75418,1.16982,1.01901,0.993,1,0.995,0.90767,0.47061,0.72687,0.83816,0.00043292,0.00043292,0.00043292
14,279.109,0.73342,1.09846,1.00906,0.99736,1,0.995,0.89086,0.45008,0.6479,0.82329,0.000421925,0.000421925,0.000421925
15,295.082,0.74117,1.12807,1.01991,0.99546,1,0.995,0.92689,0.41432,0.67502,0.81223,0.000410262,0.000410262,0.000410262
16,311.2,0.73077,1.09185,1.01489,0.99232,1,0.995,0.92029,0.40081,0.65207,0.81555,0.000397977,0.000397977,0.000397977
