epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1699,1.01282,6.08981,1.18995,0.00072,0.3285,0.04998,0.03142,3.17557,7.80941,2.82248,0.07413,0.00013,0.00013
2,19.225,1.00778,3.09824,1.17666,0.37179,0.38529,0.37845,0.26735,1.57239,7.77528,1.47784,0.0472647,0.000264741,0.000264741
3,27.2652,0.89513,2.21326,1.08749,0.92389,0.68572,0.93138,0.73608,0.833,3.56128,0.9936,0.0203984,0.000398439,0.000398439
4,35.3114,0.88,1.97547,1.0832,0.74913,0.7579,0.87682,0.6446,1.04518,3.17843,1.34759,0.000495616,0.000495616,0.000495616
5,43.3907,0.89938,2.01387,1.10788,0.81336,0.8019,0.89744,0.7236,0.78959,2.16545,1.06326,0.000492224,0.000492224,0.000492224
6,51.4857,0.8416,1.82122,1.08038,0.92375,0.95263,0.98775,0.8162,0.68897,1.46107,0.95187,0.000487886,0.000487886,0.000487886
7,59.4807,0.88224,1.74986,1.09251,0.9529,0.94392,0.98593,0.83786,0.62387,1.34202,0.89876,0.00048262,0.00048262,0.00048262
8,67.5192,0.83478,1.67712,1.09607,0.93073,0.98194,0.97528,0.83765,0.61556,1.2629,0.91205,0.000476445,0.000476445,0.000476445
9,75.6462,0.85763,1.6863,1.07758,0.97375,0.98582,0.99417,0.83287,0.63505,1.14754,0.92037,0.000469386,0.000469386,0.000469386
10,83.691,0.7993,1.55249,1.05725,0.95283,1,0.99283,0.82623,0.65313,1.11331,0.93935,0.000461471,0.000461471,0.000461471
11,91.677,0.82242,1.62829,1.07363,0.98748,0.99481,0.995,0.87486,0.52239,1.00411,0.86221,0.000452732,0.000452732,0.000452732
12,99.6405,0.82722,1.54434,1.0726,0.97666,0.9873,0.99437,0.87039,0.55799,1.03685,0.88564,0.000443202,0.000443202,0.000443202
13,107.697,0.78678,1.41192,1.04509,0.98303,0.9326,0.99291,0.873,0.54651,1.0712,0.88934,0.00043292,0.00043292,0.00043292
14,115.729,0.73086,1.33967,1.01667,0.94859,0.96729,0.99184,0.85171,0.56919,1.15229,0.88455,0.000421925,0.000421925,0.000421925
15,123.88,0.78233,1.35006,1.04703,0.99599,0.99826,0.995,0.87233,0.55795,0.97642,0.86646,0.000410262,0.000410262,0.000410262
16,132.207,0.74864,1.35212,1.02429,0.97165,1,0.99433,0.87907,0.55406,0.9468,0.87199,0.000397977,0.000397977,0.000397977
17,140.466,0.70031,1.26996,1.0049,0.99434,1,0.995,0.85606,0.5915,0.89716,0.88174,0.000385117,0.000385117,0.000385117
18,149.303,0.78635,1.37376,1.05577,0.98969,1,0.99483,0.88839,0.48946,0.8813,0.84397,0.000371734,0.000371734,0.000371734
19,158.178,0.70855,1.22784,1.00661,0.9928,1,0.995,0.88954,0.52694,0.84853,0.85987,0.00035788,0.00035788,0.00035788
20,166.729,0.73512,1.22853,1.01049,0.99758,1,0.995,0.87171,0.53479,0.85391,0.85912,0.000343611,0.000343611,0.000343611
21,175.039,0.70214,1.19709,0.99825,0.99773,1,0.995,0.8701,0.58475,0.84224,0.86427,0.000328982,0.000328982,0.000328982
22,183.1,0.68376,1.14314,0.99246,0.99637,1,0.995,0.90998,0.45145,0.81729,0.8369,0.000314051,0.000314051,0.000314051
23,191.312,0.73932,1.21076,1.02761,0.99756,1,0.995,0.89357,0.49965,0.80273,0.84198,0.000298877,0.000298877,0.000298877
