epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.4545,0.90168,3.58353,1.16271,0.00139,0.56,0.13227,0.06752,1.67357,3.7163,1.66161,0.08911,0.00011,0.00011
2,12.4871,0.80407,1.93054,1.07362,0.01233,0.44,0.07716,0.05067,2.3623,3.70052,2.12471,0.0772298,0.000229775,0.000229775
3,17.3442,0.84326,1.30381,1.09009,0,0,0,0,2.94747,4.83056,2.71662,0.0653486,0.000348634,0.000348634
4,22.1191,0.73717,1.02554,1.04222,0.48838,0.46667,0.50896,0.3517,1.26432,4.19025,1.41477,0.0534659,0.000465879,0.000465879
5,26.8914,0.72286,0.88771,0.99741,0.94735,0.26536,0.53255,0.40815,0.89576,3.42966,1.15659,0.0415808,0.000580825,0.000580825
6,31.5677,0.75852,0.90973,1.02118,0.80029,0.38667,0.67895,0.49985,0.8829,2.80505,1.09808,0.0296928,0.000692799,0.000692799
7,36.2793,0.75832,0.91077,1.03059,0.7091,0.7419,0.83427,0.6808,0.78875,1.56838,1.05011,0.0178011,0.000801149,0.000801149
8,41.0672,0.74979,0.84332,1.01038,0.73519,0.6912,0.85985,0.64911,0.88004,1.46623,1.07996,0.00590524,0.000905245,0.000905245
9,45.738,0.78167,0.86959,1.03223,0.80668,0.73812,0.8502,0.62734,0.91324,1.25096,1.06197,0.000938772,0.000938772,0.000938772
10,50.4277,0.71275,0.82111,0.99264,0.94513,0.90106,0.95959,0.8224,0.60109,0.64269,0.91093,0.000922942,0.000922942,0.000922942
11,55.1553,0.71623,0.81488,0.99677,0.959,0.96612,0.98732,0.84263,0.59112,0.66009,0.89552,0.000905463,0.000905463,0.000905463
12,59.8326,0.72885,0.78282,0.98816,0.89356,0.93116,0.95643,0.77149,0.67896,0.76336,0.92763,0.000886404,0.000886404,0.000886404
13,64.5441,0.73906,0.74921,1.00902,0.91292,0.88093,0.95905,0.85109,0.56185,0.84641,0.89607,0.000865839,0.000865839,0.000865839
14,69.2938,0.70893,0.74907,0.99156,0.91345,0.90667,0.94192,0.80457,0.57023,0.7319,0.89027,0.000843851,0.000843851,0.000843851
15,74.194,0.69762,0.70053,0.98989,0.92493,0.99353,0.99449,0.87318,0.52877,0.54643,0.86791,0.000820525,0.000820525,0.000820525
16,78.9221,0.67497,0.67278,0.98209,0.8815,0.89516,0.96086,0.82727,0.58018,0.85042,0.90735,0.000795954,0.000795954,0.000795954
17,83.6008,0.6665,0.6838,0.98258,0.97059,0.94368,0.97299,0.87045,0.4904,0.59644,0.85845,0.000770234,0.000770234,0.000770234
18,88.3614,0.66834,0.65221,0.97319,0.98988,0.97591,0.99208,0.89924,0.45707,0.51302,0.83051,0.000743468,0.000743468,0.000743468
19,92.9832,0.66293,0.65047,0.98944,0.94875,0.9794,0.98399,0.89229,0.45512,0.48759,0.84309,0.000715761,0.000715761,0.000715761
20,97.664,0.6059,0.61817,0.96302,0.94996,0.96,0.96877,0.83608,0.52982,0.56604,0.86923,0.000687222,0.000687222,0.000687222
21,102.352,0.6066,0.6038,0.95276,0.91767,1,0.97887,0.87381,0.4669,0.49554,0.84453,0.000657963,0.000657963,0.000657963
22,106.996,0.61852,0.61291,0.97182,0.96296,0.98551,0.99295,0.89719,0.47017,0.51051,0.83253,0.000628101,0.000628101,0.000628101
23,111.617,0.63986,0.58458,1.00384,0.94172,0.99799,0.98321,0.88087,0.44743,0.43939,0.83986,0.000597754,0.000597754,0.000597754
