epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.74856,0.91584,5.05667,1.17123,0.00137,0.34667,0.00286,0.00129,3.1168,6.25232,2.70942,0.089055,5.5e-05,5.5e-05
2,12.76,0.8076,3.01485,1.04834,0.00025,0.08,0.00024,5e-05,3.17846,5.91302,3.77185,0.0771149,0.000114888,0.000114888
3,17.5686,0.76622,1.82477,1.02612,0,0,0,0,2.4363,6.62187,2.91359,0.0651743,0.000174317,0.000174317
4,22.2491,0.76911,1.49081,1.04551,0.23333,0.18667,0.21811,0.16509,1.31669,6.17559,1.53176,0.0532329,0.00023294,0.00023294
5,26.899,0.69302,1.19388,0.99468,0.56061,0.56,0.65049,0.49759,0.97232,5.50668,1.23954,0.0412904,0.000290412,0.000290412
6,31.5505,0.7058,1.15283,0.98937,0.66909,0.86667,0.88499,0.77878,0.63512,4.2275,0.94009,0.0293464,0.000346399,0.000346399
7,36.2205,0.6702,1.12121,0.98521,0.9856,0.69792,0.92755,0.82614,0.55328,2.72057,0.88806,0.0174006,0.000400574,0.000400574
8,40.9686,0.69479,1.04953,0.99643,1,0.68837,0.94524,0.83775,0.59693,2.6332,0.91685,0.00545262,0.000452622,0.000452622
9,45.709,0.67597,1.01749,0.97853,0.97482,0.78521,0.89819,0.79334,0.57927,1.75674,0.89213,0.000469386,0.000469386,0.000469386
10,50.3498,0.6714,0.98403,0.98199,0.97015,0.92031,0.98045,0.8811,0.49303,1.07308,0.84865,0.000461471,0.000461471,0.000461471
11,55.0989,0.66379,0.9624,0.99136,0.98512,0.9785,0.99449,0.88316,0.5,0.99155,0.8458,0.000452732,0.000452732,0.000452732
12,59.7699,0.62593,0.91507,0.96379,0.99432,0.99492,0.995,0.90664,0.46251,0.81904,0.85829,0.000443202,0.000443202,0.000443202
13,64.4587,0.63472,0.9413,0.98018,0.98983,1,0.995,0.89659,0.48098,0.64131,0.84027,0.00043292,0.00043292,0.00043292
14,69.2118,0.61949,0.87909,0.96107,0.99113,0.99629,0.995,0.90092,0.49261,0.66557,0.86097,0.000421925,0.000421925,0.000421925
15,73.8799,0.63697,0.92772,0.97457,0.9779,1,0.99244,0.89703,0.43604,0.62648,0.83259,0.000410262,0.000410262,0.000410262
16,78.5633,0.63331,0.91136,0.96179,0.97505,1,0.99397,0.90918,0.42159,0.59643,0.82445,0.000397977,0.000397977,0.000397977
17,83.2287,0.62406,0.88997,0.9778,0.99383,1,0.995,0.91128,0.43512,0.56469,0.8227,0.000385117,0.000385117,0.000385117
18,87.9302,0.63105,0.85856,0.95902,0.99184,1,0.995,0.90254,0.43108,0.56677,0.82412,0.000371734,0.000371734,0.000371734
19,92.5899,0.59903,0.82719,0.96565,0.99477,1,0.995,0.92275,0.39743,0.5527,0.81296,0.00035788,0.00035788,0.00035788
20,97.3028,0.54958,0.77251,0.9466,0.98462,1,0.995,0.92272,0.39387,0.50548,0.81324,0.000343611,0.000343611,0.000343611
21,101.939,0.57941,0.81684,0.95093,0.98749,1,0.995,0.92768,0.38433,0.51814,0.81063,0.000328982,0.000328982,0.000328982
22,106.62,0.52665,0.73285,0.9413,0.97905,0.98958,0.995,0.93311,0.36704,0.50664,0.80898,0.000314051,0.000314051,0.000314051
23,111.34,0.55016,0.77607,0.97174,0.99441,1,0.995,0.93654,0.34983,0.49884,0.80661,0.000298877,0.000298877,0.000298877
24,116.098,0.54803,0.76866,0.95511,0.98842,0.99898,0.995,0.93137,0.35926,0.50949,0.8131,0.00028352,0.00028352,0.00028352
25,120.739,0.54588,0.74236,0.95442,0.99517,1,0.995,0.94181,0.33953,0.46276,0.80405,0.000268041,0.000268041,0.000268041
26,125.46,0.53561,0.69504,0.95132,0.99443,1,0.995,0.93941,0.34442,0.44418,0.8085,0.0002525,0.0002525,0.0002525
27,130.439,0.54603,0.70049,0.95567,0.99505,1,0.995,0.92971,0.34823,0.45116,0.81323,0.000236959,0.000236959,0.000236959
28,135.579,0.51,0.69075,0.9362,0.99481,1,0.995,0.94639,0.32947,0.43802,0.8025,0.00022148,0.00022148,0.00022148
29,140.614,0.48257,0.65913,0.92353,0.99607,1,0.995,0.95092,0.31513,0.40109,0.79649,0.000206123,0.000206123,0.000206123
30,145.472,0.49845,0.6457,0.9204,0.9975,1,0.995,0.9462,0.34846,0.4227,0.79983,0.000190949,0.000190949,0.000190949
31,150.209,0.49533,0.65486,0.91382,0.99395,1,0.995,0.94459,0.31788,0.40932,0.79364,0.000176018,0.000176018,0.000176018
32,154.958,0.46998,0.61416,0.90743,0.9963,1,0.995,0.94545,0.31462,0.40498,0.79075,0.000161389,0.000161389,0.000161389
33,159.71,0.44816,0.60778,0.8958,0.99775,1,0.995,0.94483,0.3104,0.38936,0.78943,0.00014712,0.00014712,0.00014712
34,164.38,0.47085,0.63452,0.92693,0.99723,1,0.995,0.94903,0.28138,0.37764,0.78352,0.000133266,0.000133266,0.000133266
