epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.8981,0.66862,1.8255,0.91417,0.89155,0.41232,0.55384,0.47321,0.76558,2.56699,0.91104,0.000653846,0.000653846,0.000653846
2,42.1142,0.70409,1.21796,0.93445,0.76182,0.70142,0.75242,0.59495,0.75462,1.49606,0.97469,0.00118978,0.00118978,0.00118978
3,52.9699,0.70477,1.0421,0.93893,0.93945,0.8089,0.88326,0.70471,0.70153,1.24,0.91813,0.00159372,0.00159372,0.00159372
4,64.0329,0.67463,0.88662,0.92847,0.86149,0.82938,0.86156,0.7098,0.66576,0.79665,0.90184,0.001406,0.001406,0.001406
5,75.1835,0.64303,0.75782,0.92193,0.92073,0.82571,0.87472,0.72862,0.64028,0.76247,0.88446,0.001208,0.001208,0.001208
6,86.1369,0.59581,0.67182,0.90088,0.92864,0.84834,0.88619,0.72682,0.60262,0.66518,0.88073,0.00101,0.00101,0.00101
7,96.8392,0.56893,0.60043,0.88596,0.90144,0.86695,0.89692,0.76498,0.55179,0.66414,0.86315,0.000812,0.000812,0.000812
8,107.42,0.54728,0.54388,0.87694,0.93856,0.87678,0.90559,0.76396,0.55691,0.56503,0.86292,0.000614,0.000614,0.000614
9,117.815,0.51145,0.49734,0.86372,0.96807,0.86211,0.90888,0.77549,0.52906,0.42328,0.85965,0.000416,0.000416,0.000416
10,128.308,0.49335,0.45855,0.86346,0.96866,0.87878,0.91109,0.80179,0.48178,0.42208,0.83823,0.000218,0.000218,0.000218
